Ways,Data_Size_kB,Words_Per_Block,Hit_Time,Sets,Index_Size,Tag_Size,Hit_Time,
38,54872,54150,98.6842,54150,98.6842,722,2888,1000,
39,59319,58558,98.7171,58558,98.7171,760,3043,1075,
40,64000,63200,98.75,63200,98.75,800,3200,1074,
41,68921,68080,98.7798,68080,98.7798,840,3363,1179,
42,74088,73206,98.8095,73206,98.8095,882,3528,1210,
43,79507,78582,98.8366,78582,98.8366,924,3699,1291,
44,85184,84216,98.8636,84216,98.8636,968,3872,1312,
45,91125,90112,98.8883,90112,98.8883,1012,4051,1408,
46,97336,96278,98.913,96278,98.913,1058,4232,1440,
47,103823,102718,98.9357,102718,98.9357,1104,4419,1529,
48,110592,109440,98.9583,109440,98.9583,1152,4608,1576,
49,117649,116448,98.9792,116448,98.9792,1200,4803,1656,
50,125000,123750,99,123750,99,1250,5000,1692,
Ways,Data_Size_kB,Words_Per_Block,Hit_Time,Sets,Index_Size,Tag_Size,Hit_Time,
1,8192,8,1,256,8,19,1,
Matrix_Size,Instruction Count,Hit_A,Hit_A_Percentage,Hit_B,Hit_B_Percentage,Hit_C,Total_CAS,Total_RAS,
2,8,7,87.5,7,87.5,3,6,3,
3,27,25,92.5926,25,92.5926,7,13,8,
4,64,62,96.875,62,96.875,14,20,5,
5,125,121,96.8,121,96.8,21,33,14,
6,216,211,97.6852,211,97.6852,31,46,15,
7,343,336,97.9592,336,97.9592,42,63,22,
8,512,504,98.4375,504,98.4375,56,80,20,
9,729,718,98.4911,718,98.4911,70,103,31,
10,1000,987,98.7,987,98.7,87,126,38,
11,1331,1315,98.7979,1315,98.7979,105,153,47,
12,1728,1710,98.9583,1710,98.9583,126,180,49,
13,2197,2175,98.9986,2175,98.9986,147,213,66,
14,2744,2719,99.0889,2719,99.0889,171,246,71,
15,3375,3346,99.1407,3346,99.1407,196,283,86,
16,4096,4064,99.2188,4064,99.2188,224,320,96,
17,4913,4876,99.2469,4876,99.2469,252,363,108,
18,5832,5791,99.297,5791,99.297,283,406,112,
19,6859,6813,99.3293,6813,99.3293,315,453,131,
20,8000,7950,99.375,7950,99.375,350,500,128,
21,9261,9183,99.1578,9174,99.0606,376,606,232,
22,10648,10516,98.7603,10490,98.5162,407,774,398,
23,12167,11961,98.3069,11938,98.1179,462,964,593,
24,13824,13607,98.4303,13573,98.1843,504,1044,642,
25,15625,15294,97.8816,15096,96.6144,396,1485,1246,
26,17576,17185,97.7754,17127,97.4454,591,1516,1136,
27,19683,19219,97.6426,19147,97.2768,637,1729,1374,
28,21952,21455,97.736,21191,96.5333,506,2042,1819,
29,24389,23776,97.4866,23676,97.0766,735,2167,1825,
30,27000,26333,97.5296,25980,96.2222,547,2587,2404,
31,29791,29023,97.422,28893,96.9857,840,2627,2275,
32,32768,32059,97.8363,31915,97.3969,896,2586,2188,
33,35937,35018,97.4427,34689,96.5273,786,3256,3001,
34,39304,38311,97.4735,38134,97.0232,1011,3319,2927,
35,42875,41788,97.4647,41193,96.077,670,3994,3808,
36,46656,45551,97.6316,45339,97.1772,1134,3718,3332,
37,50653,49372,97.471,49141,97.015,1197,4162,3799,
38,54872,53536,97.5652,53033,96.6486,1007,4619,4312,
39,59319,57859,97.5387,57315,96.6217,1056,4985,4664,
40,64000,62654,97.8969,62366,97.4469,1400,4580,4153,
41,68921,67199,97.5015,66883,97.043,1470,5441,5086,
42,74088,72214,97.4706,71187,96.0844,871,6539,6370,
43,79507,77390,97.3373,76811,96.6091,1439,6662,6463,
44,85184,82989,97.4232,82391,96.7212,1538,6924,6766,
45,91125,88593,97.2214,87959,96.5257,1621,7723,7628,
46,97336,94645,97.2353,93357,95.9121,1851,8786,8704,
47,103823,100891,97.176,96940,93.3704,370,12024,11945,
48,110592,107799,97.4745,104345,94.3513,2016,11344,11277,
49,117649,114238,97.1007,109501,93.0743,2100,13960,13768,
50,125000,121741,97.3928,82447,65.9576,2187,48312,48237,
Ways,Data_Size_kB,Words_Per_Block,Hit_Time,Sets,Index_Size,Tag_Size,Hit_Time,
1,32768,8,2,1024,10,17,2,
Matrix_Size,Instruction Count,Hit_A,Hit_A_Percentage,Hit_B,Hit_B_Percentage,Hit_C,Total_CAS,Total_RAS,
2,8,7,87.5,7,87.5,3,6,3,
3,27,25,92.5926,25,92.5926,7,13,8,
4,64,62,96.875,62,96.875,14,20,5,
5,125,121,96.8,121,96.8,21,33,14,
6,216,211,97.6852,211,97.6852,31,46,15,
7,343,336,97.9592,336,97.9592,42,63,22,
8,512,504,98.4375,504,98.4375,56,80,20,
9,729,718,98.4911,718,98.4911,70,103,31,
10,1000,987,98.7,987,98.7,87,126,38,
11,1331,1315,98.7979,1315,98.7979,105,153,47,
12,1728,1710,98.9583,1710,98.9583,126,180,49,
13,2197,2175,98.9986,2175,98.9986,147,213,66,
